action_type	serialized_occurrences	source_candidates	resolution
HutongGames.PlayMaker.Actions.DamageHeroDirectlyV2	96	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DamageHeroDirectlyV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DebugLogConsole	148	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/DebugLogConsole.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.Decelerate	541	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/Decelerate.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DecelerateV2	8868	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DecelerateV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DecelerateXY	5784	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DecelerateXY.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DecelerateXYConditional	94	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DecelerateXYConditional.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DecrementPlayerDataInt	1	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DecrementPlayerDataInt.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DespawnCurrency	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DespawnCurrency.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DestroyAllChildren	62	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/DestroyAllChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DestroyObject	140	"[""Assets/PlayMaker/Actions/GameObject/DestroyObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DestroyPersistentBoolIfPdBool	48	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DestroyPersistentBoolIfPdBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DestroySelf	417	"[""Assets/PlayMaker/Actions/GameObject/DestroySelf.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DetachChildren	1	"[""Assets/PlayMaker/Actions/GameObject/DetachChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DetectGroundEdge	36	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DetectGroundEdge.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueNewLineEvent	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueNewLineEvent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNo	27	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoItemV2	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoItemV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoItemV3	21	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoItemV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoItemV4	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoItemV4.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoItemV5	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoItemV5.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoItemV6	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoItemV6.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoV2	51	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DialogueYesNoV3	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DialogueYesNoV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DirectionalInvincibility	582	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DirectionalInvincibility.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DirectlyFlyTo	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DirectlyFlyTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DisplayBossTitle	92	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DisplayBossTitle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DisplayNPCTitle	190	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DisplayNPCTitle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceBetweenPoints	227	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/DistanceBetweenPoints.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceFly	1632	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DistanceFly.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceFlyHorizontal	112	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DistanceFlyHorizontal.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceFlySmooth	7	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DistanceFlySmooth.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceFlyV2	361	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DistanceFlyV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceFlyV3	122	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DistanceFlyV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceWalk	11	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/DistanceWalk.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceWalkServitor	20	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DistanceWalkServitor.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DistanceWalkServitorV	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DistanceWalkServitorV.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShake	7189	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShake.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShakeRepeating	154	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShakeRepeating.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShakeRepeatingV2	32	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShakeRepeatingV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShakeV2	565	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShakeV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShakeV3	20	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShakeV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoCameraShakeV4	82	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoCameraShakeV4.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoHeroMovement	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoHeroMovement.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoHeroRecoil	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoHeroRecoil.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoPassBlackThreadState	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoPassBlackThreadState.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoSpriteFlash	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoSpriteFlash.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoSpriteFlashCustom	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoSpriteFlashCustom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoSpriteFlashNamed	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoSpriteFlashNamed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DoSurfaceWaterSplash	49	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DoSurfaceWaterSplash.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DockClamberCheck	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DockClamberCheck.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DontDestroyOnLoad	3	"[""Assets/PlayMaker/Actions/Level/DontDestroyOnLoad.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.DropPlatformResolutionModeInScene	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/DropPlatformResolutionModeInScene.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EaseColor	966	"[""Assets/PlayMaker/Actions/AnimateVariables/EaseColor.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EaseFloat	6795	"[""Assets/PlayMaker/Actions/AnimateVariables/EaseFloat.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EasePosX	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EasePosX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EaseSpriteColor	195	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EaseSpriteColor.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EdgeSlowdown	13	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EdgeSlowdown.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnableBehaviour	85	"[""Assets/PlayMaker/Actions/ScriptControl/EnableBehaviour.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnableFSM	160	"[""Assets/PlayMaker/Actions/StateMachine/EnableFSM.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnableFsmSelf	815	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EnableFsmSelf.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EndDialogue	1102	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EndDialogue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EndFreeCameraMode	20	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EndFreeCameraMode.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EndInteractEvents	202	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EndInteractEvents.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnemyDetectTurn	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EnemyDetectTurn.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnemySingControl	2574	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EnemySingControl.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnumBitmaskSwitch	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/EnumBitmaskSwitch.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnumCompare	8160	"[""Assets/PlayMaker/Actions/Logic/EnumCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.EnumSwitch	485	"[""Assets/PlayMaker/Actions/Logic/EnumSwitch.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceAngle	567	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FaceAngle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceAngleV2	7	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FaceAngleV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceAngleV3	39	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceAngleV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceDirection	1745	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FaceDirection.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceDirectionUmbrella	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceDirectionUmbrella.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceDirectionV2	135	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceDirectionV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObject	1193	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FaceObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectAnim	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectAnim.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectTk2dSpriteScale	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectTk2dSpriteScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectV2	14638	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectV3	376	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectV4	45	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectV4.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FaceObjectV5	9	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FaceObjectV5.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FadeAudio	1571	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FadeAudio.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FadeAudioV2	53	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FadeAudioV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FadeHeroLightAlpha	5	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FadeHeroLightAlpha.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FadeNestedFadeGroup	2027	[]	no_loose_source_match
HutongGames.PlayMaker.Actions.FadeNestedFadeGroupV2	4	[]	no_loose_source_match
HutongGames.PlayMaker.Actions.FadeNestedFadeGroupV3	33	[]	no_loose_source_match
HutongGames.PlayMaker.Actions.FadeOutTransitionAudioFaders	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FadeOutTransitionAudioFaders.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindChild	14736	"[""Assets/PlayMaker/Actions/GameObject/FindChild.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindChildRecursive	18	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FindChildRecursive.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindClosest	361	"[""Assets/PlayMaker/Actions/GameObject/FindClosest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindFastTravelTeleportPoint	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FindFastTravelTeleportPoint.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindGameObject	1216	"[""Assets/PlayMaker/Actions/GameObject/FindGameObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindNamedChild	11825	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FindNamedChild.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FindTopEdgeIntersectionX	169	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FindTopEdgeIntersectionX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FinishFSM	45	"[""Assets/PlayMaker/Actions/StateMachine/FinishFSM.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FireAtTarget	598	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FireAtTarget.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObject	642	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FlingObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjects	90	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FlingObjects.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsFromGlobalPool	1258	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FlingObjectsFromGlobalPool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsFromGlobalPoolTime	29	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/FlingObjectsFromGlobalPoolTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsFromGlobalPoolV2	202	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlingObjectsFromGlobalPoolV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsFromGlobalPoolV3	60	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlingObjectsFromGlobalPoolV3.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsFromGlobalPoolVelTime	28	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlingObjectsFromGlobalPoolVelTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlingObjectsV2	49	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlingObjectsV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlipScale	1533	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FlipScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlipScaleDelay	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlipScaleDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FlipScaleOnExit	47	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FlipScaleOnExit.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatAbs	10	"[""Assets/PlayMaker/Actions/Math/FloatAbs.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatAdd	8278	"[""Assets/PlayMaker/Actions/Math/FloatAdd.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatAddRandom	821	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FloatAddRandom.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatAddV2	208	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FloatAddV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatClamp	3667	"[""Assets/PlayMaker/Actions/Math/FloatClamp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatCompare	11631	"[""Assets/PlayMaker/Actions/Logic/FloatCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatDivide	105	"[""Assets/PlayMaker/Actions/Math/FloatDivide.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatInRange	915	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FloatInRange.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatMinClamp	66	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FloatMinClamp.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatMultiply	3171	"[""Assets/PlayMaker/Actions/Math/FloatMultiply.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatMultiplyV2	154	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FloatMultiplyV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatOperator	4985	"[""Assets/PlayMaker/Actions/Math/FloatOperator.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatSign	405	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FloatSign.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatSignTest	12	"[""Assets/PlayMaker/Actions/Logic/FloatSignTest.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatSignToBool	336	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FloatSignToBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatSubtract	513	"[""Assets/PlayMaker/Actions/Math/FloatSubtract.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatSwitch	173	"[""Assets/PlayMaker/Actions/Logic/FloatSwitch.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FloatTestToBool	2351	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/FloatTestToBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FollowTargetPositionV2	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FollowTargetPositionV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FormatString	28	"[""Assets/PlayMaker/Actions/String/FormatString.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.FsmIntAdd	31	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/FsmIntAdd.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectCompare	733	"[""Assets/PlayMaker/Actions/Logic/GameObjectCompare.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectCompareTag	58	"[""Assets/PlayMaker/Actions/Logic/GameObjectCompareTag.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectIsActive	162	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GameObjectIsActive.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectIsActiveEveryFrame	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GameObjectIsActiveEveryFrame.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectIsNull	2051	"[""Assets/PlayMaker/Actions/Logic/GameObjectIsNull.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GameObjectIsVisible	95	"[""Assets/PlayMaker/Actions/Logic/GameObjectIsVisible.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetActiveChild	67	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetActiveChild.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAngleBetweenPointsV2	123	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetAngleBetweenPointsV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAngleToTarget2D	4270	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/GetAngleToTarget2D.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAngularVelocity2d	16	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetAngularVelocity2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAnimatorCurrentStateInfo	37	"[""Assets/PlayMaker/Actions/Animator/GetAnimatorCurrentStateInfo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAttunementTime	27	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetAttunementTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAudioClipDuration	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetAudioClipDuration.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetAudioVolume	36	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/GetAudioVolume.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetBitmaskAtIndex	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetBitmaskAtIndex.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetBoxCollider2DSizeVector	118	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetBoxCollider2DSizeVector.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCameraXEdgeDistanceForwardMin	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetCameraXEdgeDistanceForwardMin.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCaravanLocationScene	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetCaravanLocationScene.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetChild	28	"[""Assets/PlayMaker/Actions/GameObject/GetChild.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetChildCount	134	"[""Assets/PlayMaker/Actions/GameObject/GetChildCount.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetChildNum	31	"[""Assets/PlayMaker/Actions/GameObject/GetChildNum.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetClosestGameObject	10	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetClosestGameObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetColliderRange	809	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/GetColliderRange.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCollision2dInfo	239	"[""Assets/PlayMaker/Actions/Physics2D/GetCollision2dInfo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetColorRGBA	164	"[""Assets/PlayMaker/Actions/Color/GetColorRGBA.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetComponent	53	"[""Assets/PlayMaker/Actions/UnityObject/GetComponent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCostFromReference	28	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetCostFromReference.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCurrentMusicCueName	1	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/GetCurrentMusicCueName.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetCurrentTk2dClipName	185	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetCurrentTk2dClipName.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetDamageFromReference	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetDamageFromReference.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.GetDefaultTk2dClipName	2012	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/GetDefaultTk2dClipName.cs""]"	exact_declared_type
